붕장어,민어,광어,우럭,낙지,문어,감성돔,돌돔,방어,참돔,전복,갑오징어,고등어,숭어,전어,쏨뱅이,송어,복어,참치
5.36983,8.10724,14.50648,10.8709,20.80905,22.45944,11.25436,7.18026,7.32814,8.734626408619862,30.436767943174797,23.179674213849427,19.161255152929336,14.67613,2.93266,3.02165,9.96696,9.60526,30.76386
6.81791,9.94456,15.05063,11.62631,21.69634,23.48437,10.99125,8.46958,7.3928,10.087322229771464,33.108882935511176,32.574331443048976,18.40968059776268,13.10256,3.39935,3.87757,10.09052,10.81392,31.36947
8.22439,19.21629,12.96749,10.75438,20.79689,25.65714,7.63927,10.26977,7.16681,9.404244858051381,31.98151286596665,23.341000071832177,18.437207965136228,9.66544,3.12536,6.00489,10.20127,10.13149,30.83428
9.31014,35.94292,11.70633,10.68396,22.27379,28.33565,7.9171,16.96157,7.39536,11.56549737904056,42.90493563653833,13.54366243085581,19.06778400841855,8.64819,7.36591,7.61302,9.01437,10.68716,32.08327
10.10012,41.88379,12.40925,11.13337,21.71043,28.9099,7.86269,10.0425,9.64303,9.996420965159107,42.44207720380665,14.32404929334523,21.932590572369776,9.94071,25.08418,4.85,10.88434,11.63591,41.35948
6.17645,17.58831,11.71978,10.16542,20.12726,28.2153,9.95352,8.39916,13.76131,9.43626951524718,46.689034366206855,15.567920584951844,21.323792613867727,10.1827,45.78825,2.93778,9.41961,10.17054,35.90963
6.14381,9.66288,15.79324,12.27161,23.37362,25.6725,12.89579,10.1014,39.82049,9.99961684144305,31.598057132660763,26.810782721616,25.205843304280194,12.96237,31.38547,3.26427,12.91371,12.38364,37.06259
6.4735,8.23079,27.91057,13.06415,23.36722,25.28968,13.08656,9.65391,82.27148,9.706419902774918,30.879133231075425,25.723114001784367,21.877535837622673,15.62103,12.54881,4.17397,14.60891,11.11096,36.12025
5.99784,7.95423,17.82645,12.27033,21.29623,24.64758,11.92463,8.77879,69.2515,10.512406722714069,32.081392236634414,13.215887428682544,20.796275343948025,17.51149,3.92558,4.9249,18.07292,11.95536,41.19816
5.43064,14.25297,17.54286,11.69289,22.28787,34.27141,12.31514,7.76346,38.94536,13.049438284492028,51.92124394505067,12.089818772676322,20.8884615485096,15.90527,3.21882,7.27116,18.18624,12.62243,41.5797
5.30325,7.49074,17.2202,10.05531,22.22129,25.44076,9.12769,6.54904,17.18307,9.994493555235286,34.23111324525885,15.411075543202251,23.599635420584267,13.45018,2.94354,12.8593,12.13077,10.1763,50.24903
5.65983,9.08223,18.77968,13.57438,29.76262,39.26801,10.37988,7.95167,9.73714,11.719146544506211,59.79739867888271,25.626446980989638,31.649899517534834,19.84046,3.48898,5.53371,14.17551,10.67692,55.72129
6.59257,12.71654,21.03696,16.28746,31.55704,37.32379,12.41373,10.03354,8.91387,13.583989776954224,96.81266379589597,39.30135449614531,28.518780912314416,26.16032,4.00752,6.60025,15.51732,11.29534,50.45324
9.14817,18.1459,21.31352,17.9116,30.03469,39.58042,15.28238,16.28618,9.78963,46.81196028801501,96.87539522316015,50.48980436803697,24.73530817903141,20.08821,4.00752,7.93439,14.74591,13.49564,51.93142
33.86425,24.3038,15.79644,13.75619,24.40367,46.73828,12.24344,20.62532,8.3966,23.795522868483058,73.36091178459498,41.35824683023357,25.106622877176125,11.78827,3.89421,68.06972,11.54885,12.82025,45.77993
